ITEM,BASE,LIN,MAT,FORMA,CORRE,CODIGO,DESCRIPCION DE PRODUCTO,DISP,UND,PRECIO DETAL USD,PRECIO MAYOR USD,SALIDA,ENTRADA,STOCK,NUEVO PRECIO,COSTO,VALOR INVENTARIO,Unnamed: 18,Unnamed: 21
20.4,TUBERIA PULIDA RECTANGULAR,TUB,3,1,12,TUB0301012,"TUBO ESTRUC. CUAD. 70 X 70 X 2,5mm X 6,00 mts ",3,Pza,51.49,,0,0,3,0,41.192000000000007,165.36,,
20.5,TUBERIA PULIDA RECTANGULAR,TUB,3,1,13,TUB0301013,"TUBO ESTRUC. CUAD. 90 X 90 X 2,00mm X 6,00 mts ",20,Pza,41.34,,1,0,19,0,33.072,439.6,,
20.6,TUBERIA PULIDA RECTANGULAR,TUB,3,1,14,TUB0301014,"TUBO ESTRUC. CUAD. 90 X 90 X 3,2mm X 3,90 mts 2da",26,Pza,37.1,,13,0,13,0,29.680000000000003,-56.000000000000007,,
20.7,TUBERIA PULIDA RECTANGULAR,TUB,3,1,15,TUB0301015,"TUBO ESTRUC. CUAD. 90 X 90 X 3,2mm X 4,85 mts 2da",60,Pza,45.58,,63,60,57,0,36.464,470.40000000000003,,
20.8,TUBERIA PULIDA RECTANGULAR,TUB,3,1,16,TUB0301016,"TUBO ESTRUC. CUAD. 90 X 90 X 3,2mm X 4,95 mts 2da",3,Pza,43,,3,0,0,0,34.4,0,,
20.9,,,,,,TUB0301020,"TUBO ESTRUC. CUAD. 100 X 100 X 1,50mm X 6,00 mts",,Pza,38.16,,0,75,75,0,30.528,4800,,
20.10,TUBERIA PULIDA RECTANGULAR,TUB,3,1,1,TUB0301001,"TUBO ESTRUC. CUAD. 100 X 100 X 2,00mm X 6,00 mts",8,Pza,46,,8,0,0,0,36.800000000000004,0,,
20.11,TUBERIA PULIDA RECTANGULAR,TUB,3,1,2,TUB0301002,"TUBO ESTRUC. CUAD. 100 X 100 X 2,5mm X 12,00 mts",56,Pza,146,,104,48,0,0,116.80000000000001,0,,
20.12,,,,,,TUB0301021,"TUBO ESTRUC. CUAD. 100 X 100 X 3,5mm X 12,00 mts",,Pza,153.7,,10.5,40,29.5,0,122.96,0,,
20.13,TUBERIA PULIDA RECTANGULAR,TUB,3,1,2,TUB0301017,"TUBO ESTRUC. CUAD. 100 X 100 X 2,5mm X 6,00 mts",1,Pza,73,,60,59,0,0,58.400000000000006,0,,
20.14,TUBERIA PULIDA RECTANGULAR,TUB,3,1,3,TUB0301003,"TUBO ESTRUC. CUAD. 100 X 100 X 3,00 mm X 6,00 mts",3,Pza,54,,3,0,0,0,43.2,0,,
20.15,,,3,1,18,TUB0301018,"TUBO ESTRUC. CUAD. 120 X 120 X 4,00 mm X 12,00 mts",,Pza,291.5,,14,19,5,311.68831168831167,233.20000000000002,2322,,
20.16,,,,,,TUB0301022,"TUBO ESTRUC. CUAD. 120 X 120 X 4,50 mm X 12,00 mts",,Pza,302.1,,0,20,20,0,241.68000000000004,0,,
20.17,,,,,,TUB0301019,"TUBO ESTRUC. CUAD. 120 X 120 X 4,00 mm X 6,00 mts",,PZA,147.6,,2,2,0,138.55421686746988,118.08,1900.8,,
20.18,TUBERIA PULIDA RECTANGULAR,TUB,3,1,4,TUB0301004,"TUBO ESTRUC. CUAD. 125 X 125 X 4,00mm X 1,56 mts   2da",2,Pza,20.28,,2,0,0,0,16.224,3758.4000000000005,,
20.19,TUBERIA PULIDA RECTANGULAR,TUB,3,1,5,TUB0301005,"TUBO ESTRUC. CUAD. 125 X 125 X 4,00mm X 2,06 mts   2da",133,Pza,28.38,,2,0,131,0,22.704,443.87200000000007,,
20.20,TUBERIA PULIDA RECTANGULAR,TUB,3,1,6,TUB0301006,"TUBO ESTRUC. CUAD. 125 X 125 X 4,00mm X 2,20 mts   2da",108,Pza,30.31,,1,0,107,0,24.248,945.92000000000007,,
20.21,TUBERIA PULIDA RECTANGULAR,TUB,3,1,7,TUB0301007,"TUBO ESTRUC. CUAD. 125 X 125 X 4,00mm X 2,60 mts   2da",4,Pza,35.82,,0,0,4,0,28.656000000000002,580,,
20.22,,,,,,TUB0301023,"TUBO ESTRUC. CUAD. 155 X 155 X 4,20mm X 12,00 mts",,Pza,426.55,,6,9,3,0,341.24,309.6,,
20.23,TUBERIA PULIDA RECTANGULAR,TUB,3,1,8,TUB0301008,"TUBO ESTRUC. CUAD. 200 X 200 X 5,00mm X 12,00 mts ",3,Pza,498.2,,0,0,3,0,398.56,133.6,,
21,,,,,,TUBOS ESTRUCTURALES RECTANGULAR,,,,*,,,,LINEA,0,0,0,,
21.1,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,2,5,TUB0302005,"TUBO ESTRUC. RECT. 80 X 40 X 2,00mm X 6,00 mts",651,Pza,31.8,32.58,565,0,86,0,25.44,0,,
21.2,,,,,,TUB0302010,"TUBO ESTRUC. RECT. 80 X 40 X 2,50mm X 12,00 mts",,Pza,82.68,,31,64,33,0,66.144,3558.4,,
21.3,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,2,1,TUB0302001,"TUBO ESTRUC. RECT. 100 X 40 X 2,00mm X 6,00 mts ",227,Pza,46.64,,154,0,73,0,37.312000000000005,11486.28,,
21.4,,,,,,TUB0302007,"TUBO ESTRUC. RECT. 100 X 40 X 2,50mm X 12,00 mts ",,Pza,97.91,,0,96,96,0,78.328,0,,
21.5,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,2,2,TUB0302002,"TUBO ESTRUC. RECT. 120 X 60 X 2,5mm X 6,00 mts ",20,Pza,59.36,47.7,75,143,88,0,47.488,1289.6000000000001,,
21.6,,,,,,TUB0302008,"TUBO ESTRUC. RECT. 120 X 60 X 2,5mm X 12,00 mts ",,Pza,124.76,,37,44,7,0,99.808,0,,
21.7,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,39,1,TUB0339001,"TUBO ESTRUC. RECT. 120 X 60 X 3,00mm X 2,60 mts 2da",1164,Pza,20.14,,54,0,1110,0,16.112000000000002,2353.04,,
21.8,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,39,2,TUB0339002,"TUBO ESTRUC. RECT. 120 X 60 X 3,00mm X 3,00 mts 2da",433,Pza,24.38,,356,0,77,0,19.504,0,,
21.9,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,39,3,TUB0339003,"TUBO ESTRUC. RECT. 120 X 60 X 3,00mm X 4,60 mts  2da",199,Pza,38.16,,55,0,144,0,30.528,504.00000000000006,,
21.10,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,39,4,TUB0339004,"TUBO ESTRUC. RECT. 120 X 60 X 3,00mm X 4,80 mts  2da",5,Pza,41.34,,3,29,31,0,33.072,516,,
21.11,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,39,5,TUB0339005,"TUBO ESTRUC. RECT. 120 X 60 X 3,00mm X 6,00 mts  2da Sold",123,Pza,50.88,46.64,13,0,110,0,40.704000000000008,0,,
21.12,,,3,2,6,TUB0302006,"TUBO ESTRUC. RECT. 140 X 60 X 2,50mm X 6,00 mts ",,Pza,72.69,,26,44,18,73.972602739726028,58.152,1471.0800000000002,,
21.13,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,39,6,TUB0339006,"TUBO ESTRUC. RECT. 150 X 75 X 5,00mm X 12,00 mts 2da",5,Pza,175,,9,4,0,0,140,0,,
21.14,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,39,7,TUB0339007,"TUBO ESTRUC. RECT. 150 X 75 X 5,00mm X 6,00 mts 2da",2,Pza,87,,2,0,0,0,69.600000000000009,0,,
21.15,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,2,3,TUB0302003,"TUBO ESTRUC. RECT. 160 X 65 X 3,00mm X 12,00 mts  ",2,Pza,222.6,,10,26,18,220.77922077922076,178.08,27.880000000000003,,
21.16,,,,,,TUB0302009,"TUBO ESTRUC. RECT. 200 X 70 X 3,00mm X 12,00 mts ",,Pza,259.64,,0,24,24,0,207.712,451.20000000000005,,
21.17,TUBERIA ESTRUCTURAL CUADRADA,TUB,3,2,4,TUB0302004,"TUBO ESTRUC. RECT. 220 X 90 X 5,00mm X 6,00 mts ",2,Pza,180.2,,0,0,2,0,144.16,187.68,,
22,,,,,,TUBOS PULIDO CUADRADO,,,,*,,,,LINEA,0,0,0,,
22.1,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,1,3,TUB0201003,"TUBO PULIDO CUAD. 1/2 X 1/2 X 0,90 mm X 6,00 mts ",74,Pza,3.19,,68,130,136,3.0120481927710845,2.552,0,,
22.2,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,1,9,TUB0201009,"TUBO PULIDO CUAD. 3/4 X 3/4 X 0,80 mm X 6,00 mts ",49,Pza,4.77,,46,0,3,0,3.816,0,,
22.3,,,,,,TUB0201015,"TUBO PULIDO CUAD. 3/4 X 3/4 X 0,90 mm X 6,00 mts ",,Pza,4.87,,0,200,200,0,3.8960000000000004,0,,
22.4,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,1,4,TUB0201004,"TUBO PULIDO CUAD. 1 X 1 X 0,90 mm X 6,00 mts 2da ",95,Pza,6.07,,95,0,0,0,4.8560000000000008,0,,
22.5,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,1,5,TUB0201005,"TUBO PULIDO CUAD. 1 X 1 X 0,90mm X 6,00 mts ",199,Pza,7.25,,153,0,46,0,5.8000000000000007,504,,
22.6,,,,,,TUB0201014,"TUBO PULIDO CUAD. 1 X 1 X 1,90mm X 6,00 mts ",,Pza,12.79,,68,100,32,12.10843373493976,10.232,72,,
22.7,,,2,1,1,TUB0201001,"TUBO PULIDO CUAD. 1 1/2 X 1 1/2 X 0,80 mm X 6,00 mts ",50,Pza,10.17,,0,0,50,0,8.136000000000001,4593.6,,
22.8,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,1,2,TUB0201002,"TUBO PULIDO CUAD. 1 1/2 X 1 1/2 X 0,90 mm X 6,00 mts ",200,Pza,10.36,,36,0,164,0,8.288,80,,
22.9,,,,,,TUB0201013,"TUBO PULIDO CUAD. 1 1/2 X 1 1/2 X 1,50 mm X 6,00 mts ",,Pza,16.01,,38,100,62,15.108433734939759,12.808000000000002,120,,
22.10,,,,,,TUB0201012,"TUBO PULIDO CUAD. 1 1/4 X 1 1/4 X 0,90 mm X 6,00 mts ",,Pza,7.97,,30,100,70,7.5180722891566267,6.376,840,,
22.11,,,2,1,2,TUB0201011,"TUBO PULIDO CUAD. 2 X 2 X 0,90 mm X 6,00 mts ",,Pza,13.3,,98,98,0,14.038961038961039,10.64,7996.8,,
22.12,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,1,6,TUB0201006,"TUBO PULIDO CUAD. 2 X 2 X 1,00 mm X 6,00 mts ",20,Pza,14,,20,0,0,0,11.200000000000001,0,,
22.13,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,1,7,TUB0201007,"TUBO PULIDO CUAD. 2 X 2 X 1,10 mm X 6,00 mts ",3,Pza,15.6,,3,0,0,0,12.48,1797.1200000000001,,
22.14,,,,,,TUB0201016,"TUBO PULIDO CUAD. 2 X 2 X 1,40 mm X 6,00 mts ",,,,,0,0,0,0,0,1330.52,,
22.15,,,,,,TUB0201017,"TUBO PULIDO CUAD. 2 X 2 X 1,50 mm X 6,00 mts ",,Pza,19.35,,98,98,0,0,15.480000000000002,3155.04,,
22.16,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,1,8,TUB0201008,"TUBO PULIDO CUAD. 2 X 2 X 2,20 mm X 6,00 mts",7,Pza,22,,7,0,0,0,17.6,195.84,,
22.17,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,1,10,TUB0201010,"TUBO PULIDO CUAD. 4 X 4 X 1,40 mm X 6,00 mts 2da",80,Pza,33.92,,15,0,65,0,27.136000000000003,2288.83072,,
23,,,,,,TUBOS PULIDO RECTANGULAR,,,,*,,,,LINEA,0,0,11.456000000000001,,
23.1,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,2,2,1,TUB0202001,"TUBO PULIDO RECT. 1 1/2 X 1/2 X 0,90 X 6,00 mts ",196,Pza,7.28,,5,0,191,0,5.8240000000000007,0,,
23.2,TUBERIA GALVANIZADA EMT,TUB,2,2,3,TUB0202003,"TUBO PULIDO RECT. 2 X 1 X 0,90 mm X 6,00 mts GALVANIZADO",0,Pza,10.5,,0,0,0,0,8.4,0,,
23.3,TUBERIA GALVANIZADA ASTM REDONDA,TUB,2,2,4,TUB0202004,"TUBO PULIDO RECT. 2 X 1 X 0,70 mm X 6,00 mts ",953,Pza,8.37,,619,0,334,0,6.696,0,,
23.4,TUBERIA GALVANIZADA ASTM REDONDA,TUB,2,2,5,TUB0202005,"TUBO PULIDO RECT. 2 X 1 X 0,90 mm X 6,00 mts ",0,Pza,9.22,,1204,1512,308,10.44155844155844,7.3760000000000012,409.94400000000007,,
23.5,TUBERIA GALVANIZADA ASTM REDONDA,TUB,2,2,6,TUB0202006,"TUBO PULIDO RECT. 2 X 1 X 1,00 mm X 6,00 mts",0,Pza,10.9,,0,0,0,0,8.72,239.04000000000002,,
23.6,TUBERIA GALVANIZADA ASTM REDONDA,TUB,2,2,7,TUB0202007,"TUBO PULIDO RECT. 2 X 1 X 1,20 mm X 6,00 mts",5,Pza,14,,5,0,0,0,11.200000000000001,88,,
23.7,,,,,,TUB0202014,"TUBO PULIDO RECT. 2 X 1 X 1,10 mm X 6,00 mts",,Pza,11.54,,203.9,420,216.1,10.89156626506024,9.232,22,,
23.8,TUBERIA GALVANIZADA ASTM REDONDA,TUB,2,2,2,TUB0202002,"TUBO PULIDO RECT. 2 1/2 X 1 1/2 X 0,90mm X 6,00 mts ",0,Pza,13.89,,0,0,0,0,11.112000000000002,44,,
23.9,TUBERIA AGUA FRIA ,TUB,2,2,11,TUB0202011,"TUBO PULIDO RECT. 3 X 1 X 0,90 mm X 6,00 mts ",0,Pza,14.2,,58,74,16,14.038961038961039,11.36,1316,,
23.10,,,,,,TUB0202012,"TUBO PULIDO RECT. 3 X 1 X 1,30 mm X 6,00 mts OFERTA ",,Pza,13.1,,950.36,2749,1798.6399999999999,19.480519480519479,10.48,28,,
23.11,,,,,,TUB0202016,"TUBO PULIDO RECT. 3 X 1 X 1,40 mm X 6,00 mts  ",,Pza,,,0,0,0,0,0,112,,
23.12,,,,,,TUB0202015,"TUBO PULIDO RECT. 3 X 1 X 1,90 mm X 6,00 mts  ",,Pza,26.66,,24,48,24,25.180722891566266,21.328000000000003,0,,
23.13,TUBERIA GALVANIZADA ASTM REDONDA,TUB,2,2,8,TUB0202008,"TUBO PULIDO RECT. 3 X 1 1/2 X 0,90 mm X 6,00 mts ",67,Pza,17.77,,4,3,66,0,14.216000000000001,153.60000000000002,,
23.14,TUBERIA GALVANIZADA EMT,TUB,2,39,1,TUB0239001,"TUBO PULIDO RECT. 3 X 1 1/2 X 0,90 mm X 6,00 mts 2da",12,Pza,15.79,,0,0,12,0,12.632,6526.64,,
23.15,TUBERIA GALVANIZADA ,TUB,2,2,9,TUB0202009,"TUBO PULIDO RECT. 3 X 1 1/2 X 1.10 mm X 6,00 mts ",0,Pza,22.89,,23,43,20,0,18.312,2400,,
23.16,TUBERIA AGUA FRIA ,TUB,2,2,10,TUB0202010,"TUBO PULIDO RECT. 3 X 1 1/2 X 1.4 mm X 6,00 mts ",13,Pza,24.38,,34,71,50,0,19.504,0,,
23.17,,,2,2,13,TUB0202013,"TUBO PULIDO RECT. 3 X 1 1/2 X 1.5 mm X 6,00 mts ",,Pza,24.38,,183,298,115,26.467532467532465,19.504,0,,
24,,,,,,TUBOS GALVANIZADO,,,,*,,,,LINEA,0,0,0,,
24.1,TUBERIA ESTRUCTURAL CUADRADA,TUB,4,3,1,TUB0403001,"TUBO GALV.  1/2 X 2,3mm X 5,80 mts  ",2216,Pza,12.72,10.54,16.66,0,2199.34,0,10.176000000000002,7616,,
24.2,TUBERIA ESTRUCTURAL CUADRADA,TUB,4,3,2,TUB0403002,"TUBO GALV.  1"" X 1,4mm X 3,00 mts EMT (ELECTRICO)",836,Pza,8.48,,0,0,836,0,6.7840000000000007,15679.2,,
24.3,TUBERIA ESTRUCTURAL CUADRADA,TUB,4,3,9,TUB0403009,"TUBO GALV. 1 1/4 X 6,60mts EMT PARA CERCA ",34,Pza,9.22,,1,0,33,0,7.3760000000000012,0,,
24.4,TUBERIA ESTRUCTURAL CUADRADA,TUB,4,3,5,TUB0403005,"TUBO GALV. C/ROSC. 1/2 X 2,3mm X 6,00 mts ",2711,Pza,18.02,14.78,43,0,2668,0,14.416,0,,
24.5,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,4,3,7,TUB0403007,"TUBO GALV. C/ROSC. 3/4 X 6,00 mts ISO 150",157,Pza,27.56,25.38,39,0,118,0,22.048000000000002,1188,,
24.6,TUBERIA ESTRUCTURAL CUADRADA,TUB,4,3,3,TUB0403003,"TUBO GALV. C/ROSC. 1  1/2 x 4mm X 5,90 mts",3,Pza,62.54,37.1,0,0,3,0,50.032000000000004,335.20088000000004,,
24.7,TUBERIA ESTRUCTURAL CUADRADA,TUB,4,3,4,TUB0403004,"TUBO GALV. C/ROSC. 1  1/2 X 4mm X 6,40 mts ",3,Pza,68.9,47.7,0,0,3,0,55.120000000000005,1008.672,,
24.8,,TUB,4,3,6,TUB0403006,"TUBO GALV. C/ROSC. 2  1/4 X 4mm X 6,00 mts ",6,Pza,83.74,63.6,0,0,6,0,66.992,1932.5919999999999,,
24.9,TUBERIA ESTRUCTURAL RECTANGULAR ,TUB,4,3,8,TUB0403008,"TUBO GALV. C/ROSC. 4"" X 2mm X 3,00 mts ",8,Pza,83.74,,0,0,8,0,66.992,97.216000000000008,,
25,,,,,,TUBOS REDONDO,,,,*,,,,LINEA,0,0,0,,
25.1,TUBERIA ELECTRICA,TUB,1,3,1,TUB0103001,"TUBO REDONDO  8"" 5/8 X 13mm X 13 mts",0,Pza,1050,790,0,0,0,0,840,0,,
26,,,,,,TUBOS DE VENTILACION,,,,*,,,,LINEA,0,0,0,,
26.1,TUBERIA ELECTRICA,TUB,14,3,1,TUB1403001,"TUBO VENT. 1 1/2 X 2,00mm X 6,00 mts ",60,Pza,23.93,,5,0,55,0,19.144000000000002,51.6,,
26.2,TUBERIA ELECTRICA,TUB,14,3,2,TUB1403002,"TUBO VENT. 1 1/2 X 2,60mm X 6,00 mts ",8,Pza,27.56,20.14,0,0,8,0,22.048000000000002,2373.6,,
26.3,TUBERIA ELECTRICA,TUB,14,3,3,TUB1403003,"TUBO VENT. 1 1/4 X 2,00mm X 6,00 mts ",4,Pza,13,,4,0,0,0,10.4,0,,
26.4,,,,,,TUB1403008,"TUBO VENT. 1  X 2,00mm X 6,00 mts ",,Pza,14.46,,7,61,54,0,11.568000000000001,0,,
26.4,TUBERIA ELECTRICA,TUB,14,3,4,TUB1403004,"TUBO VENT. 2 X 2,50mm X 6,00 mst ",37,Pza,40.06,,2,0,35,0,32.048,0,,
26.5,TUBERIA ELECTRICA,TUB,14,39,7,TUB1439007,"TUBO VENT. 2 X 2,50mm X 6,00 mst 2da",0,Pza,23,,1,1,0,0,18.400000000000002,852.416,,
26.6,TUBERIA DE VENTILACION,TUB,14,3,5,TUB1403005,"TUBO VENT. 3 X 3mm X 6,00 mts ",0,Pza,,,0,0,0,0,0,0,,
26.7,TUBERIA DE VENTILACION,TUB,14,3,6,TUB1403006,"TUBO VENT. 3 1/2"" X 2mm X 6,00 mts ",4,Pza,63.6,,1,0,3,0,50.88,-33.536,,
27,,,,,,TUBOS PVC ELECTRICOS,,,,*,,,,LINEA,0,0,147.576,,
27.1,TUBERIA REDONDA S/C,TUB,9,3,2,TUB0903002,"TUBO ELEC. 1/2"" X 3,00 mts",4002,Pza,2.9,2.5,129,0,3873,0,2.32,1098.384,,
27.2,TUBERIA PULIDA CUADRADA ,TUB,9,3,3,TUB0903003,"TUBO ELEC. 3/4"" X 3,00 mts OCC PLAST",1567,Pza,3.5,2.9,324,0,1243,0,2.8000000000000003,0,,
27.3,TUBERIA PULIDA CUADRADA ,TUB,9,3,6,TUB0903006,"TUBO ELEC. 1 1/2 X 3,00 mts ",200,Pza,6.5,5.2,5,0,195,0,5.2,4620,,
27.4,TUBERIA PULIDA CUADRADA ,TUB,9,3,4,TUB0903004,"TUBO ELEC. 1"" X 1,52mm X 3 mts",0,Pza,3.2,,0,0,0,0,2.5600000000000005,5817.6000000000013,,
27.5,TUBERIA PULIDA CUADRADA ,TUB,9,3,1,TUB0903001,"TUBO ELEC. 1"" X 1,52mm X 3,00 mts *DERIVADOS PLASTICOS",0,Pza,3.2,,0,0,0,0,2.5600000000000005,0,,
27.6,TUBERIA PULIDA CUADRADA ,TUB,9,3,5,TUB0903005,"TUBO ELEC. 1"" X 3,00 mts TUBRICA ",20,Pza,3.7,4.5,0,0,20,0,2.9600000000000004,0,,
27.7,TUBERIA PULIDA CUADRADA ,TUB,9,3,7,TUB0903007,"TUBO ELEC. 2"" X 3,00 mts UNITECA",380,Pza,8.5,6.9,78,0,302,0,6.8000000000000007,0,,
27.8,TUBERIA PULIDA CUADRADA ,TUB,9,3,8,TUB0903008,"TUBO ELEC. 4"" 114,3mm X ESP. 2,26mm x 6,00 mts UNITECA ",20,Pza,34,,20,0,0,0,27.200000000000003,0,,
27.9,TUBERIA PULIDA CUADRADA ,TUB,9,3,9,TUB0903009,"TUBO ELEC. 4"" 114,0mm X ESP. 3,55mm X 6,00 mts REFORZADO ",468,Pza,37,,150,0,318,0,29.6,1906.1280000000002,,
28,,,,,,TUBOS PVC AGUA FRIAS,,,,*,,,,LINEA,0,0,660.19200000000012,,
28.1,TUBERIA AGUA FRIA ,TUB,6,3,2,TUB0603002,"TUBO PVC A.F. 1/2 X 3,00 mts GRIS",935,Pza,3.95,2.95,13,0,922,0,3.16,591.6,,
28.2,TUBERIA AGUA FRIA ,TUB,6,3,3,TUB0603003,"TUBO PVC A.F. 1/2 X 6,00 mts  ",800,Pza,7.9,6.5,3,0,797,0,6.32,116.59200000000001,,
28.3,TUBERIA AGUA FRIA ,TUB,6,3,9,TUB0603009,"TUBO PVC A.F. 1/2 X 6,00 mts 9.500 PSI REFORZADO",523,Pza,8.9,7.5,2,0,521,0,7.120000000000001,592.80000000000007,,
28.4,TUBERIA AGUA FRIA ,TUB,6,3,7,TUB0603007,"TUBO PVC A.F. 3/4 X 2,41mm X 6,00 mts ALTA PRESION *UNITECA *",218,Pza,9.5,8.7,34,0,184,0,7.6000000000000005,364,,
28.5,TUBERIA AGUA FRIA ,TUB,6,3,8,TUB0603008,"TUBO PVC A.F. 1"" X 6,00 mts NACIONAL",50,Pza,7.3,,3,0,47,0,5.84,1960.8,,
28.6,TUBERIA AGUA FRIA ,TUB,6,3,1,TUB0603001,"TUBO PVC A.F  1 1/2 X 6,00 mts ",300,Pza,17,,4,0,296,0,13.600000000000001,0,,
28.7,TUBERIA AGUA FRIA ,TUB,6,3,12,TUB0603012,"TUBO PVC A.F. 1 1/2 X 2,84mm  PRS 250 PSI X 6,00 mts   ASTM TUBRICA",154,Pza,27,,0,0,154,0,21.6,0,,
28.8,TUBERIA AGUA FRIA ,TUB,6,3,13,TUB0603013,"TUBO PVC A.F. 1 1/2X 3,00mm PRESION 200 PSI X 6,00 mts *TUBRICA",88,Pza,23,,15,0,73,0,18.400000000000002,0,,
28.9,TUBERIA AGUA FRIA ,TUB,6,3,4,TUB0603004,"TUBO PVC A.F. 2"" X 6,00 mts ",50,Pza,23,,6,0,44,0,18.400000000000002,0,,
28.10,TUBERIA AGUA FRIA ,TUB,6,3,10,TUB0603010,"TUBO PVC A.F. 2"" X 6,00 mts IMPORTADO ",200,Pza,27,21,0,0,200,0,21.6,0,,
28.11,TUBERIA AGUA FRIA ,TUB,6,3,6,TUB0603006,"TUBO PVC A.F. 2 1/2 X 3,48mm PRESION 200 PSI X 6,00 mts *TUBRICA",60,Pza,37,,0,0,60,0,29.6,0,,
28.12,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,6,3,11,TUB0603011,"TUBO PVC A.F. 2 1/2""X 3,60mm PRS  150 PSI  X 6,00 mts   ACUEDUCTO CLASE AB  ",93,Pza,35,,0,0,93,0,28,1180.8,,
28.13,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,6,3,5,TUB0603005,"TUBO PVC A.F 3 X 6,00 mts GRIS",10,Pza,35,27,0,0,10,0,28,0,,
29,,,,,,TUBOS PVC AGUAS NEGRAS,,,,*,,,,LINEA,0,0,0,,
29.1,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,2,TUB0803002,"TUBO PVC A/N 2"" X 1,8 mm x 3,00 mts PAVCO",879,Pza,8,5.5,4,0,875,0,6.4,2806.5440000000003,,
29.2,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,3,TUB0803003,"TUBO PVC A/N 2"" X 1,8 mm x 3,00 mts SANALITE",68,Pza,7.5,4.9,2,0,66,0,6,2448.1600000000003,,
29.3,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,4,TUB0803004,"TUBO PVC A/N 2"" X 1,8 mm X 3,00 mts TUBRICA",142,Pza,8,5.3,18,0,124,0,6.4,108.16,,
29.4,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,6,TUB0803006,"TUBO PVC A/N 2"" X 1,8 mm X 3,00 mts UNITECA",234,Pza,8,5.4,0,0,234,0,6.4,1128,,
29.5,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,7,TUB0803007,"TUBO PVC A/N 2"" X 3,00 mts DERIVADOS PLASTICOS ",250,Pza,6,4.6,26,0,224,0,4.8000000000000007,0,,
29.6,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,1,TUB0803001,"TUBO PVC A/N 2"" X 3,00 mts DERIVADOS PLASTICOS  2da",10,Pza,5.2,,10,0,0,0,4.16,2201.6,,
29.7,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,8,TUB0803008,"TUBO PVC A/N 2"" X 3,00 mts  OCC PLAST",501,Pza,6.5,4.5,13,0,488,0,5.2,2569.6000000000004,,
29.8,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,5,TUB0803005,"TUBO PVC A/N 2"" X 3,9 mm  X 3,00 mts PAVCO REFORZADO",10,Pza,13,10.41,5,0,5,0,10.4,3942.4000000000005,,
29.9,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,11,TUB0803011,"TUBO PVC A/N 3"" X 3,00 mts IMP. CHARLLOTE PIPE ",10,Pza,8,5.4,0,0,10,0,6.4,16872,,
29.10,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,9,TUB0803009,"TUBO PVC A/N 3"" X 3,00 mts  OCC PLAST",400,Pza,7.5,5.4,14,0,386,0,6,1416.8000000000002,,
29.11,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,12,TUB0803012,"TUBO PVC A/N 3"" X 3,00 mts DERIVADOS PLASTICOS ",294,Pza,8,5.9,3,0,291,0,6.4,4147.2,,
29.12,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,15,TUB0803015,"TUBO PVC A/N 4"" X 2,2mm X 3,00 mts (Amarillo) OCC PLAST ",0,Pza,10.5,,0,0,0,0,8.4,967.2,,
29.13,TUBERIA  PVC  AGUAS NEGRAS (3 MTS),TUB,8,3,10,TUB0803010,"TUBO PVC A/N 4"" X 3,00 mts OCC PLAST GRIS ",95,Pza,9.9,,99,4,0,0,7.9200000000000008,4224.0000000000009,,
