ITEM,BASE,LIN,MAT,FORMA,CORRE,CODIGO,DESCRIPCION DE PRODUCTO,DISP,UND,PRECIO DETAL USD,PRECIO MAYOR USD,SALIDA,ENTRADA,STOCK,NUEVO PRECIO,COSTO,VALOR INVENTARIO,Unnamed: 18,Unnamed: 21
6.2,CERCHAS ,CER,1,0-0,2,CER0100002,CERCHAS 15mm X 6 mts,200,Und,8.9,8.5,1067,1360,493,0,7.120000000000001,1064,,
7,,,,,,FLANCHE,,,,*,,,,LINEA,0,0,0,,
7.1,FLANCHE ,FLA,1,1,1,FLA0101001,FLANCHE 20 X 20 X 12 mm,718,Und,7.5,,331,0,387,0,6,2117.2799999999997,,
8,,,,,,LAMINAS HIERRO NEGRO,,,,*,,,,LINEA,0,0,1013.248,,
8.1,LAMINA HIERRO NEGRO ,LAM,1,13,7,LAM0113007,"LAMINA HN 2,50 mm X 1,250 X 2,40 m ",,Lam,76.32,73.14,17,50,33,77.671232876712338,61.056,300.04800000000006,,
8.2,,,1,13,8,LAM0113001,"LAMINA HN 3,00 mm X 1,250 X 2,40 m ",14,Lam ,92.22,,0,40,54,106.84931506849315,73.776,626.416,,
8.3,,,,,,LAM0113008,"LAMINA HN 5,00 mm X 1,005 X 2,40 m ",,Lam,147.03,,0,4,4,140,117.62400000000001,200,,
8.4,LAMINA HIERRO NEGRO ,LAM,1,13,2,LAM0113002,"LAMINA HN 5,00 mm X 1,200 X 2,40 m ",7,Lam,156.66,,0,1,8,148.57142857142858,125.328,140,,
8.5,LAMINA HIERRO NEGRO ,LAM,1,13,3,LAM0113003,"LAMINA HN 5,00 mm X 1,205 X 2,40 m ",5,Lam,153.7,,0,0,5,0,122.96,0,,
8.6,LAMINA HIERRO NEGRO ,LAM,1,13,4,LAM0113004,"LAMINA HN 6,00 mm X 1,005 X 2,00 m ",3,Lam,136.74,,0,0,3,0,109.39200000000001,93.600000000000009,,
8.7,LAMINA HIERRO NEGRO ,LAM,1,13,5,LAM0113005,"LAMINA HN 6,00 mm X 1,205 X 2,40 m ",2,Lam,177.02,,1,0,1,0,141.616,2137.2000000000003,,
8.8,LAMINA HIERRO NEGRO ,LAM,1,13,6,LAM0113006,"LAMINA HN 6,00 mm X 1,210 X 2,40 m ",4,Lam,169,,4,0,0,0,135.20000000000002,1696.68,,
8.9,,,,,,LAM0113009,"LAMINA HN 10,00 mm X 1,200 X 2,40 m ",,Lam,351.68,,0,1,1,0,281.344,31.359999999999996,,
9,,,,,,LAMINAS HIERRO PULIDO,,,,*,,,,LINEA,0,0,89.68,,
9.1,LAMINA HIERRO PULIDO ,LAM,2,13,1,LAM0213001,"LAMINA HP 0,45 mm X 1,20 X 2,40 m",279,Lam,16.96,15.37,1,0,278,0,13.568000000000001,83.6,,
9.2,LAMINA HIERRO PULIDO ,LAM,2,13,2,LAM0213002,"LAMINA HP 0,70 mm X 1,20 m X 1,40 m PROMOCION",1489,Lam,10.54,8.48,46,0,1443,0,8.432,273.84000000000003,,
9.3,LAMINA HIERRO PULIDO ,LAM,2,13,3,LAM0213003,"LAMINA HP 0,90 mm X 1,20  X 2,40 m",29,Lam,34.5,26.5,29,0,0,0,27.6,571.2,,
9.4,LAMINA HIERRO PULIDO ,LAM,2,13,4,LAM0213004,"LAMINA HP 0,90 mm X 1,23 X 2,00 m",85,Lam,26.28,24.38,20,0,65,0,21.024,23833.8,,
9.5,LAMINA HIERRO PULIDO ,LAM,2,13,5,LAM0213005,"LAMINA HP 1,10 mm X 1,22  X 2,40 m ",11,Lam,40.44,31,19,8,0,0,32.352,9601.2,,
9.6,LAMINA HIERRO PULIDO ,LAM,2,13,6,LAM0213006,"LAMINA HP 1,50 mm X 1,20 X 1,40 m",154,Lam,23.26,19.08,20,0,134,0,18.608,0,,
10,,,,,,LAMINAS ESTRIADA,,,,*,,,,LINEA,0,0,3494.4,,
10.1,LAMINA ESTRIADA ,LAM,1,14,1,LAM0114001,"LAMINA EST. 2,50 mm X 1010 X 2,40 m ",13,Lam,66.78,62.54,3,0,10,0,53.424000000000007,192.00000000000003,,
